"","fecha","casos","variacion_casos","ingresos_uci","variacion_uci","altas","variacion_altas","fallecimientos","variacion_fallecimientos","activos","variacion_activos"
"1",2020-04-11,161852,4830,NA,NA,59109,3441,16353,510,86390,879
"2",2020-04-10,157022,4576,NA,NA,55668,3503,15843,605,85511,468
"3",2020-04-09,152446,5756,NA,NA,52165,4144,15238,683,85043,929
"4",2020-04-08,146690,6180,NA,NA,48021,4813,14555,757,84114,610
"5",2020-04-07,140510,5478,7069,138,43208,2771,13798,743,83504,1964
"6",2020-04-06,135032,4273,6931,70,40437,2357,13055,637,81540,1279
"7",2020-04-05,130759,6023,6861,329,38080,3861,12418,674,80261,1488
"8",2020-04-04,124736,7026,6532,116,34219,3706,11744,809,78773,2511
"9",2020-04-03,117710,7472,6416,324,30513,3770,10935,932,76262,2770
"10",2020-04-02,110238,8102,6092,220,26743,4096,10003,950,73492,3056
"11",2020-04-01,102136,7719,5872,265,22647,3388,9053,864,70436,3467
"12",2020-03-31,94417,9222,5607,376,19259,2479,8189,849,66969,5894
"13",2020-03-30,85195,6398,5231,324,16780,2071,7340,812,61075,3515
"14",2020-03-29,78797,6549,4907,332,14709,2424,6528,838,57560,3287
"15",2020-03-28,72248,8189,4575,410,12285,2928,5690,832,54273,4429
"16",2020-03-27,64059,7871,4165,486,9357,2342,4858,769,49844,4760
"17",2020-03-26,56188,8578,3679,513,7015,1648,4089,655,45084,6275
"18",2020-03-25,47610,7937,3166,530,5367,1573,3434,738,38809,5626
"19",2020-03-24,39673,6584,2636,281,3794,439,2696,514,33183,5631
"20",2020-03-23,33089,4517,2355,570,3355,780,2182,462,27552,3275
"21",2020-03-22,28572,3646,1785,173,2575,450,1720,394,24277,2802
"22",2020-03-21,24926,4946,1612,471,2125,540,1326,324,21475,4082
"23",2020-03-20,19980,2833,1141,202,1585,478,1002,235,17393,2120
"24",2020-03-19,17147,3431,939,165,1107,26,767,169,15273,3236
"25",2020-03-18,13716,2538,774,211,1081,53,598,107,12037,2378
"26",2020-03-17,11178,1987,563,131,1028,498,491,182,9659,1307
"27",2020-03-16,9191,1438,432,50,530,13,309,21,8352,1404
"28",2020-03-15,7753,2000,382,89,517,0,288,152,6948,1848
"29",2020-03-14,5753,1544,293,21,517,328,136,16,5100,1200
"30",2020-03-13,4209,1259,272,82,189,0,120,36,3900,1223
"31",2020-03-12,2950,822,190,48,189,6,84,37,2677,779
"32",2020-03-11,2128,506,142,42,183,48,47,12,1898,446
"33",2020-03-10,1622,623,100,32,135,112,35,18,1452,493
"34",2020-03-09,999,410,68,NA,23,NA,17,0,959,NA
"35",2020-03-08,589,159,NA,NA,NA,NA,17,9,NA,NA
"36",2020-03-07,430,65,NA,NA,NA,NA,8,3,NA,NA
"37",2020-03-06,365,128,11,2,NA,NA,5,2,NA,NA
"38",2020-03-05,237,39,9,2,NA,NA,3,2,NA,NA
"39",2020-03-04,198,63,7,NA,NA,NA,1,NA,NA,NA
"40",2020-03-03,135,21,NA,NA,NA,NA,NA,NA,NA,NA
"41",2020-03-02,114,48,NA,NA,NA,NA,NA,NA,NA,NA
"42",2020-03-01,66,22,NA,NA,NA,NA,NA,NA,NA,NA
"43",2020-02-29,44,12,NA,NA,NA,NA,NA,NA,NA,NA
"44",2020-02-28,32,16,NA,NA,NA,NA,NA,NA,NA,NA
"45",2020-02-27,16,6,NA,NA,NA,NA,NA,NA,NA,NA
"46",2020-02-26,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"47",2020-02-25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
